Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.952095808383233,1,146.48125,-43.52875,146.70125,-41.74875,2.123885592,0.499,4.107,18.5,1.38581,152,1.969582141,0.442,-2.131,21.12,1.13133,189
0.974358974358974,1,146.48125,-43.52875,147.46375,-41.73375,2.123885592,0.499,4.107,18.5,1.38581,152,0.537942251,0.519,1.079,23.2,1.55536,103
0.721212121212121,1,146.48125,-43.52875,145.75125,-41.72875,2.123885592,0.499,4.107,18.5,1.38581,152,3.36604349,0.46,0.306,17.63,1.11188,180
0.865168539325843,1,146.48125,-43.52875,146.92625,-41.72375,2.123885592,0.499,4.107,18.5,1.38581,152,0.760598878,0.516,0.489,22.79,1.55536,103
0.949152542372881,1,146.48125,-43.52875,147.25375,-41.71625,2.123885592,0.499,4.107,18.5,1.38581,152,0.597932829,0.514,0.961,23.28,1.6425,53
0.849462365591398,1,146.48125,-43.52875,146.66125,-41.70875,2.123885592,0.499,4.107,18.5,1.38581,152,1.131289659,0.51,-0.029,21.92,1.18117,176
0.885714285714286,1,146.48125,-43.52875,146.71125,-41.70875,2.123885592,0.499,4.107,18.5,1.38581,152,1.687688497,0.477,-1.355,20.82,1.18117,176
0.924528301886792,1,146.48125,-43.52875,145.94875,-41.70375,2.123885592,0.499,4.107,18.5,1.38581,152,3.599653768,0.425,-1.001,18.03,1.11188,180
0.896103896103896,1,146.48125,-43.52875,145.97125,-41.69625,2.123885592,0.499,4.107,18.5,1.38581,152,2.989569386,0.459,-0.231,18.8,1.11188,180
0.960975609756098,1,146.48125,-43.52875,147.24625,-41.68625,2.123885592,0.499,4.107,18.5,1.38581,152,0.5501076,0.514,1.287,23.51,1.55536,103
0.950617283950617,1,146.48125,-43.52875,147.27125,-41.68125,2.123885592,0.499,4.107,18.5,1.38581,152,0.544537383,0.514,1.345,23.52,1.55536,103
0.8125,1,146.48125,-43.52875,146.82375,-41.67875,2.123885592,0.499,4.107,18.5,1.38581,152,0.927946779,0.513,0.176,21.43,1.18117,176
0.867549668874172,1,146.48125,-43.52875,148.23125,-41.67125,2.123885592,0.499,4.107,18.5,1.38581,152,1.023908636,0.512,2.458,20.09,1.6425,53
0.835616438356164,1,146.48125,-43.52875,148.18375,-41.66375,2.123885592,0.499,4.107,18.5,1.38581,152,1.023322126,0.497,1.608,21.1,1.18117,176
0.862068965517241,1,146.48125,-43.52875,146.70625,-41.64625,2.123885592,0.499,4.107,18.5,1.38581,152,1.680555556,0.493,-0.528,20.59,1.18117,176
0.945205479452055,1,146.48125,-43.52875,145.94625,-41.63875,2.123885592,0.499,4.107,18.5,1.38581,152,2.93851171,0.46,-0.002,18.4,1.11188,180
0.910828025477707,1,146.48125,-43.52875,147.47125,-41.60375,2.123885592,0.499,4.107,18.5,1.38581,152,0.646756956,0.514,1.154,23.11,1.55536,103
0.861702127659574,1,146.48125,-43.52875,148.22125,-41.56375,2.123885592,0.499,4.107,18.5,1.38581,152,0.973288154,0.509,2.381,20.1,1.1959,188
