Class,X,Y,XTran,YTran,isothermality_2010_1kmTran,jan_rad_2010_1kmTran,mintempjuly_2010_1kmTran,precip_pet_ratio_2010_1kmTran
4,145.945000,-42.477500,0.234611,0.385901,1.022491,0.103424,0.600415,1.544835
4,146.065000,-42.477500,0.247766,0.385901,1.012141,0.075040,0.529341,1.512263
4,146.185000,-42.477500,0.260922,0.385901,0.983158,0.125900,0.433246,1.399897
4,146.305000,-42.477500,0.274078,0.385901,1.011779,0.170444,0.430554,1.179560
4,146.425000,-42.477500,0.287233,0.385901,0.969626,0.180596,0.340687,1.064066
6,146.545000,-42.477500,0.300389,0.385901,1.017663,0.202300,0.392558,0.796763
7,146.665000,-42.477500,0.313545,0.385901,1.065282,0.251321,0.504293,0.259662
7,146.785000,-42.477500,0.326701,0.385901,1.034271,0.243253,0.434707,0.297614
7,146.905000,-42.477500,0.339856,0.385901,1.043340,0.397758,0.454404,0.136497
7,147.025000,-42.477500,0.353012,0.385901,1.022112,0.247773,0.428419,0.213395
7,147.145000,-42.477500,0.366168,0.385901,1.030285,0.330476,0.499368,0.081351
7,147.265000,-42.477500,0.379324,0.385901,1.025334,0.264007,0.524269,0.088700
7,147.385000,-42.477500,0.392479,0.385901,1.022294,0.236494,0.532610,0.154322
7,147.505000,-42.477500,0.405635,0.385901,1.020391,0.212510,0.527512,0.225341
7,147.625000,-42.477500,0.418791,0.385901,1.024083,0.220627,0.579137,0.188560
7,147.745000,-42.477500,0.431947,0.385901,1.017123,0.207602,0.566875,0.260710
7,147.865000,-42.477500,0.445102,0.385901,1.038416,0.206999,0.636115,0.118312
7,147.985000,-42.477500,0.458258,0.385901,1.045045,0.212803,0.666590,0.096555
4,145.225000,-42.357500,0.155676,0.372746,1.021033,0.183325,0.768630,1.018579
4,145.345000,-42.357500,0.168832,0.372746,1.022112,0.161297,0.722425,1.239779
4,145.595000,-42.357500,0.196240,0.372746,1.027684,0.081361,0.642589,1.559021
4,145.715000,-42.357500,0.209395,0.372746,1.015557,0.056072,0.593488,1.643203
4,145.835000,-42.357500,0.222551,0.372746,1.005811,0.070460,0.551725,1.639920
4,145.955000,-42.357500,0.235707,0.372746,1.021116,0.092921,0.554952,1.561788
4,146.075000,-42.357500,0.248863,0.372746,0.998759,0.125977,0.443034,1.488311
4,146.195000,-42.357500,0.262018,0.372746,0.989488,0.165303,0.368652,1.329176
4,146.315000,-42.357500,0.275174,0.372746,0.991254,0.188485,0.326510,1.119915
6,146.435000,-42.357500,0.288330,0.372746,1.026495,0.201196,0.412115,0.775102
6,146.555000,-42.357500,0.301486,0.372746,1.023054,0.205568,0.378542,0.623654
7,146.675000,-42.357500,0.314641,0.372746,1.048880,0.210018,0.408412,0.357223
7,146.795000,-42.357500,0.327797,0.372746,1.062380,0.328317,0.435273,0.150990
7,146.915000,-42.357500,0.340953,0.372746,1.021465,0.274950,0.351991,0.245533
7,147.035000,-42.357500,0.354108,0.372746,1.050783,0.414410,0.417905,0.072990
7,147.155000,-42.357500,0.367264,0.372746,1.035087,0.298727,0.458060,0.050129
7,147.275000,-42.357500,0.380420,0.372746,1.023715,0.333343,0.474444,0.073854
7,147.395000,-42.357500,0.393576,0.372746,1.021174,0.264707,0.482939,0.119333
7,147.515000,-42.357500,0.406731,0.372746,1.020889,0.211812,0.493605,0.152930
7,147.635000,-42.357500,0.419887,0.372746,1.022874,0.240229,0.540256,0.156527
7,147.755000,-42.357500,0.433043,0.372746,1.037686,0.248036,0.594512,0.111293
7,147.875000,-42.357500,0.446199,0.372746,1.033323,0.212754,0.609653,0.126964
7,147.995000,-42.357500,0.459354,0.372746,1.055297,0.207700,0.656336,0.075989
4,145.465000,-42.237500,0.181988,0.359590,1.023372,0.103072,0.650860,1.520713
4,145.585000,-42.237500,0.195143,0.359590,0.864713,0.043557,0.532889,1.674188
4,145.705000,-42.237500,0.208299,0.359590,1.008908,-0.011738,0.566700,1.651767
4,145.825000,-42.237500,0.221455,0.359590,1.022247,0.069616,0.573939,1.607816
4,145.945000,-42.237500,0.234611,0.359590,1.021662,0.099152,0.537456,1.544440
4,146.065000,-42.237500,0.247766,0.359590,1.005022,0.128554,0.419256,1.453391
4,146.185000,-42.237500,0.260922,0.359590,1.001139,0.180611,0.347399,1.252760
6,146.305000,-42.237500,0.274078,0.359590,1.010651,0.189802,0.314897,0.999989
6,146.425000,-42.237500,0.287233,0.359590,1.023506,0.199667,0.367804,0.708754
6,146.545000,-42.237500,0.300389,0.359590,1.016285,0.206669,0.289919,0.621153
6,146.665000,-42.237500,0.313545,0.359590,1.005655,0.207078,0.248561,0.522106
7,146.785000,-42.237500,0.326701,0.359590,1.044613,0.210181,0.365154,0.233068
7,146.905000,-42.237500,0.339856,0.359590,1.025425,0.319659,0.328441,0.197946
7,147.025000,-42.237500,0.353012,0.359590,1.019328,0.207101,0.301895,0.226114
7,147.145000,-42.237500,0.366168,0.359590,0.878332,0.202078,0.168697,0.450773
7,147.265000,-42.237500,0.379324,0.359590,1.019780,0.311427,0.371940,0.165505
7,147.385000,-42.237500,0.392479,0.359590,1.021374,0.343460,0.444850,0.089477
7,147.505000,-42.237500,0.405635,0.359590,1.021869,0.218104,0.470465,0.102831
7,147.625000,-42.237500,0.418791,0.359590,1.021216,0.248035,0.483844,0.136632
7,147.745000,-42.237500,0.431947,0.359590,1.021299,0.237734,0.515309,0.128975
7,147.865000,-42.237500,0.445102,0.359590,0.994014,0.216811,0.487435,0.305830
7,147.985000,-42.237500,0.458258,0.359590,1.050542,0.213360,0.628915,0.089982
4,145.345000,-42.117500,0.168832,0.346434,1.026191,0.165060,0.705116,1.200223
4,145.465000,-42.117500,0.181988,0.346434,1.028993,0.114811,0.640521,1.517064
4,145.585000,-42.117500,0.195143,0.346434,1.000602,0.037300,0.577503,1.649099
4,145.705000,-42.117500,0.208299,0.346434,1.012141,0.039996,0.554952,1.642770
4,145.825000,-42.117500,0.221455,0.346434,1.016196,0.083358,0.525143,1.618498
4,145.945000,-42.117500,0.234611,0.346434,1.018025,0.067442,0.487229,1.531438
4,146.065000,-42.117500,0.247766,0.346434,0.869648,0.087684,0.287324,1.537842
4,146.185000,-42.117500,0.260922,0.346434,1.011981,0.195614,0.356747,1.118956
6,146.305000,-42.117500,0.274078,0.346434,1.009594,0.205174,0.301047,0.897846
6,146.425000,-42.117500,0.287233,0.346434,0.995646,0.206321,0.236564,0.734300
6,146.545000,-42.117500,0.300389,0.346434,0.998570,0.205616,0.213437,0.583694
7,146.665000,-42.117500,0.313545,0.346434,0.962479,0.204576,0.148910,0.500167
7,146.785000,-42.117500,0.326701,0.346434,0.936392,0.232878,0.125201,0.458926
7,146.905000,-42.117500,0.339856,0.346434,1.001493,0.241543,0.211159,0.325107
7,147.025000,-42.117500,0.353012,0.346434,0.928528,0.247381,0.143383,0.412883
7,147.145000,-42.117500,0.366168,0.346434,0.991253,0.246822,0.235982,0.312310
